epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,7.35650335252285,0.0005645751953125,0.0,0.005,0.515,0.265,0.115,0.025
2,7.003849618136883,0.0007476806640625,0.0,0.005,0.54,0.265,0.1,0.025
3,6.957317911088467,0.000762939453125,0.0,0.005,0.58,0.365,0.165,0.08
4,6.885159865021706,0.00103759765625,0.0,0.02,0.735,0.495,0.255,0.12
5,6.831085748970509,0.0015106201171875,0.0,0.035,0.725,0.52,0.365,0.115
6,6.788988560438156,0.002166748046875,0.0,0.04,0.775,0.555,0.32,0.14
7,6.75615070015192,0.0019378662109375,0.0,0.03,0.73,0.595,0.305,0.12
8,6.723848685622215,0.0021514892578125,0.0,0.06,0.735,0.595,0.36,0.14
9,6.6891108751297,0.0021820068359375,0.0,0.035,0.825,0.57,0.35,0.16
10,6.645438775420189,0.00262451171875,0.0,0.05,0.785,0.565,0.35,0.14
11,6.600826978683472,0.003173828125,0.0,0.04,0.77,0.59,0.4,0.155
12,6.550625450909138,0.003509521484375,0.0,0.03,0.79,0.555,0.39,0.145
13,6.48914061486721,0.0037384033203125,0.0,0.03,0.745,0.57,0.355,0.12
14,6.426122836768627,0.0042572021484375,0.0,0.03,0.79,0.595,0.32,0.12
15,6.355146408081055,0.005218505859375,0.0,0.02,0.8,0.56,0.315,0.13
16,6.28852741420269,0.0062103271484375,0.0,0.03,0.815,0.545,0.355,0.125
17,6.214995697140694,0.006439208984375,0.0,0.025,0.715,0.57,0.34,0.12
18,6.142778389155865,0.0066070556640625,0.0,0.035,0.81,0.59,0.36,0.135
19,6.067404396831989,0.00775146484375,0.0,0.04,0.805,0.53,0.31,0.125
20,5.985720783472061,0.0093231201171875,0.0,0.04,0.79,0.525,0.35,0.15
21,5.9103062748909,0.009796142578125,0.0,0.04,0.785,0.515,0.295,0.1
22,5.831354655325413,0.0098419189453125,0.0,0.035,0.755,0.5,0.31,0.125
23,5.7519371509552,0.011962890625,0.0,0.035,0.805,0.595,0.325,0.125
24,5.670511059463024,0.012786865234375,0.0,0.01,0.72,0.495,0.27,0.125
25,5.597702845931053,0.013275146484375,0.0,0.025,0.775,0.515,0.29,0.135
26,5.524390563368797,0.0143585205078125,0.0,0.03,0.745,0.525,0.38,0.115
27,5.445916749536991,0.015289306640625,0.0,0.025,0.79,0.475,0.275,0.125
28,5.379977151751518,0.0163726806640625,0.0,0.025,0.75,0.5,0.31,0.12
29,5.306402705609798,0.017059326171875,0.0,0.015,0.765,0.53,0.3,0.11
30,5.228030100464821,0.0186004638671875,0.0,0.03,0.705,0.5,0.255,0.125
31,5.1650228425860405,0.0193634033203125,0.0,0.035,0.745,0.485,0.285,0.115
32,5.095763117074966,0.02093505859375,0.0,0.045,0.745,0.455,0.265,0.085
33,5.031921416521072,0.021331787109375,0.0,0.03,0.695,0.53,0.29,0.125
34,4.96230336278677,0.022613525390625,0.0,0.025,0.745,0.49,0.285,0.135
35,4.899870701134205,0.02301025390625,0.0,0.025,0.75,0.515,0.23,0.105
36,4.839197494089603,0.0247802734375,0.0,0.02,0.75,0.515,0.315,0.115
37,4.784155942499638,0.026824951171875,0.0,0.03,0.725,0.55,0.26,0.095
38,4.726265221834183,0.0264739990234375,0.0,0.025,0.66,0.5,0.28,0.125
39,4.669351898133755,0.027862548828125,0.0,0.02,0.75,0.505,0.285,0.105
40,4.622471205890179,0.0285491943359375,0.0,0.02,0.72,0.43,0.245,0.09
