epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,7.063546448945999,0.0006561279296875,0.0,0.005,0.525,0.25,0.095,0.025
2,6.958025947213173,0.0006103515625,0.0,0.005,0.51,0.26,0.065,0.02
3,6.950789093971252,0.000732421875,0.0,0.01,0.54,0.25,0.09,0.02
4,6.946819007396698,0.00054931640625,0.0,0.005,0.525,0.265,0.09,0.02
5,6.945058040320873,0.0006256103515625,0.0,0.005,0.555,0.22,0.075,0.015
6,6.942251518368721,0.0005645751953125,0.0,0.005,0.525,0.245,0.08,0.02
7,6.939048409461975,0.000518798828125,0.0,0.005,0.525,0.215,0.105,0.02
8,6.937390722334385,0.0007171630859375,0.0,0.015,0.535,0.265,0.105,0.03
9,6.933835074305534,0.000732421875,0.0,0.005,0.55,0.245,0.095,0.025
10,6.928951010107994,0.0005950927734375,0.0,0.01,0.55,0.225,0.095,0.025
11,6.924348644912243,0.000732421875,0.0,0.015,0.54,0.29,0.08,0.02
12,6.919240765273571,0.000946044921875,0.0,0.01,0.535,0.29,0.085,0.025
13,6.912618733942509,0.000823974609375,0.0,0.005,0.63,0.25,0.1,0.02
14,6.90292851626873,0.000823974609375,0.0,0.01,0.55,0.31,0.12,0.03
15,6.8896243423223495,0.0010833740234375,0.0,0.01,0.53,0.31,0.13,0.025
16,6.872375003993511,0.0012359619140625,0.0,0.015,0.56,0.38,0.16,0.035
17,6.852249555289745,0.0012664794921875,0.0,0.01,0.56,0.325,0.135,0.035
18,6.829755611717701,0.00152587890625,0.0,0.01,0.57,0.34,0.12,0.03
19,6.802161782979965,0.0016021728515625,0.0,0.01,0.57,0.32,0.175,0.04
20,6.771092131733894,0.0019683837890625,0.0,0.015,0.595,0.35,0.175,0.05
21,6.733911886811256,0.0021514892578125,0.0,0.01,0.585,0.34,0.135,0.05
22,6.690841898322105,0.002288818359375,0.0,0.01,0.6,0.415,0.13,0.045
23,6.642820432782173,0.003082275390625,0.0,0.02,0.585,0.37,0.165,0.04
24,6.592970795929432,0.00311279296875,0.0,0.005,0.65,0.33,0.155,0.055
25,6.532005168497562,0.003173828125,0.0,0.01,0.615,0.315,0.145,0.04
26,6.473415836691856,0.0038909912109375,0.0,0.02,0.59,0.37,0.125,0.05
27,6.408941991627216,0.0045623779296875,0.0,0.015,0.58,0.34,0.115,0.055
28,6.343283049762249,0.0049285888671875,0.0,0.015,0.59,0.305,0.17,0.06
29,6.275173120200634,0.005126953125,0.0,0.02,0.595,0.325,0.175,0.065
30,6.201878294348717,0.0057525634765625,0.0,0.015,0.54,0.355,0.175,0.05
31,6.134131513535976,0.0063323974609375,0.0,0.02,0.565,0.32,0.155,0.05
32,6.059830471873283,0.007568359375,0.0,0.03,0.57,0.32,0.15,0.06
33,5.986963637173176,0.00836181640625,0.0,0.015,0.53,0.375,0.135,0.07
34,5.914018340408802,0.0089111328125,0.0,0.015,0.595,0.34,0.125,0.05
35,5.843012630939484,0.00927734375,0.0,0.01,0.59,0.3,0.13,0.06
36,5.769660644233227,0.0105133056640625,0.0,0.01,0.565,0.305,0.145,0.05
37,5.702391803264618,0.0106048583984375,0.0,0.0,0.57,0.34,0.135,0.05
38,5.635833270847797,0.0122528076171875,0.0,0.015,0.635,0.32,0.12,0.035
39,5.570123970508575,0.012725830078125,0.0,0.015,0.595,0.36,0.16,0.05
40,5.498358756303787,0.01385498046875,0.0,0.005,0.54,0.335,0.145,0.05
