epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,2.1621533318615307,0.004776299879081016,0.0,0.15,0.895,0.83,0.61,0.405
2,1.8121870874637849,0.0076783555018137845,0.0,0.175,0.925,0.88,0.665,0.48
3,1.6722590519122085,0.009068923821039904,0.0,0.16,0.94,0.9,0.745,0.495
4,1.5645968332544347,0.01029322853688029,0.0,0.195,0.95,0.855,0.73,0.475
5,1.4659085755336674,0.011472188633615477,0.0,0.22,0.945,0.88,0.685,0.49
6,1.3782981760556636,0.012908101571946795,0.0,0.22,0.925,0.895,0.71,0.545
7,1.2950558684324844,0.013875453446191052,0.0,0.21,0.94,0.85,0.71,0.49
8,1.2105031157851651,0.015462515114873034,0.0,0.19,0.94,0.855,0.71,0.51
9,1.1427772125136895,0.014812575574365175,0.0,0.22,0.93,0.845,0.675,0.53
10,1.0743015656087822,0.01587061668681983,0.0,0.2,0.925,0.855,0.755,0.575
11,1.0133529019399017,0.017200725513905682,0.0,0.185,0.945,0.875,0.635,0.56
12,0.9605328154607148,0.01833434099153567,0.0,0.2,0.955,0.875,0.72,0.48
13,0.910834663976637,0.019619105199516325,0.0,0.155,0.935,0.855,0.685,0.435
14,0.8656949906063772,0.02019347037484885,0.0,0.175,0.93,0.84,0.705,0.505
15,0.8276371302202506,0.02110036275695284,0.0,0.185,0.935,0.84,0.645,0.495
16,0.7859878086409516,0.02158403869407497,0.0,0.16,0.96,0.85,0.695,0.49
17,0.7508240156227041,0.022218863361547762,0.0,0.22,0.935,0.825,0.725,0.52
18,0.7198632742286161,0.02267230955259976,0.0,0.15,0.925,0.825,0.695,0.46
19,0.697467410117568,0.024380290205562274,0.0,0.145,0.915,0.845,0.655,0.44
20,0.6658626102442609,0.024637243047158405,0.0,0.175,0.94,0.845,0.725,0.44
21,0.6459074912689617,0.02564993954050786,0.0,0.14,0.915,0.84,0.675,0.47
22,0.6245140767299279,0.025634824667472793,0.0,0.185,0.93,0.82,0.63,0.42
23,0.6069152111910563,0.026194074969770255,0.0,0.13,0.95,0.865,0.645,0.425
24,0.5903177221766261,0.0280683192261185,0.0,0.175,0.92,0.84,0.66,0.49
25,0.5718170947596846,0.027312575574365176,0.0,0.155,0.915,0.82,0.67,0.415
26,0.5515755205805962,0.028688029020556227,0.0,0.165,0.95,0.82,0.63,0.465
27,0.5444442209860866,0.028884522370012093,0.0,0.16,0.935,0.81,0.675,0.485
28,0.5358359537667347,0.029912333736396613,0.0,0.14,0.95,0.825,0.67,0.45
29,0.5192597727173041,0.030864570737605804,0.0,0.13,0.915,0.785,0.66,0.445
30,0.5132485416304532,0.030199516324062876,0.0,0.14,0.935,0.845,0.665,0.47
31,0.4998815233088318,0.031454050785973395,0.0,0.15,0.935,0.84,0.625,0.43
32,0.4941751514265298,0.03266324062877872,0.0,0.165,0.955,0.855,0.675,0.465
33,0.48026835114808875,0.03252720677146312,0.0,0.165,0.945,0.825,0.665,0.485
34,0.471949518993587,0.033570133010882706,0.0,0.135,0.91,0.81,0.625,0.43
35,0.4683476588944426,0.03320737605804111,0.0,0.11,0.93,0.82,0.665,0.41
36,0.45680670698219517,0.03548972188633615,0.0,0.135,0.95,0.845,0.64,0.41
37,0.4485418847720381,0.03544437726723096,0.0,0.15,0.925,0.825,0.645,0.45
38,0.43887225865164575,0.034749093107617895,0.0,0.2,0.91,0.805,0.69,0.46
39,0.43590302445183643,0.03482466747279323,0.0,0.17,0.915,0.8,0.645,0.495
40,0.43366671246729854,0.03629081015719468,0.0,0.145,0.915,0.81,0.665,0.455
