epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,1.664787948245277,0.01016391240091361,0.0,0.045,0.8,0.595,0.335,0.145
2,1.6508884358322782,0.010479645304312777,0.0,0.04,0.79,0.585,0.375,0.16
3,1.6434807448846493,0.010526669353755206,0.0,0.04,0.795,0.59,0.35,0.145
4,1.6368189271909326,0.010600564288593309,0.0,0.045,0.79,0.615,0.4,0.175
5,1.6325719367299816,0.010760110170630123,0.0,0.06,0.81,0.59,0.375,0.195
6,1.6278177786030372,0.010603923149267768,0.0,0.055,0.805,0.59,0.36,0.155
7,1.623801798470059,0.010864234851538358,0.0,0.055,0.815,0.65,0.425,0.225
8,1.6196440005805341,0.011020421872900713,0.0,0.035,0.805,0.515,0.32,0.13
9,1.6162069580655225,0.010966680102109364,0.0,0.055,0.815,0.62,0.38,0.155
10,1.612924858120105,0.01094484750772538,0.0,0.04,0.795,0.595,0.3,0.14
11,1.6109766355769122,0.010973397823458284,0.0,0.04,0.805,0.585,0.335,0.155
12,1.607588120160621,0.01077186618299073,0.0,0.05,0.77,0.53,0.315,0.125
13,1.6056642890681219,0.011042254467284697,0.0,0.025,0.79,0.55,0.345,0.1
14,1.6050745471965622,0.011181647185274755,0.0,0.04,0.775,0.52,0.315,0.11
15,1.6013701741371555,0.011198441488647052,0.0,0.075,0.795,0.55,0.365,0.18
16,1.60040730589999,0.01128745129652022,0.0,0.035,0.745,0.565,0.315,0.14
17,1.5987213298388103,0.011153096869541851,0.0,0.035,0.72,0.55,0.33,0.125
18,1.5950839795685736,0.011221953513368266,0.0,0.035,0.775,0.535,0.31,0.14
19,1.5939691334998882,0.011304245599892517,0.0,0.045,0.765,0.625,0.395,0.16
20,1.5927753180886057,0.011346231358323257,0.0,0.045,0.77,0.555,0.295,0.115
21,1.5906815274482804,0.011230350665054414,0.0,0.05,0.82,0.545,0.36,0.14
22,1.5912209018830665,0.011198441488647052,0.0,0.045,0.805,0.55,0.28,0.135
23,1.590925078934661,0.01133111648528819,0.0,0.04,0.755,0.505,0.325,0.115
24,1.587517984821866,0.011446997178557034,0.0,0.03,0.74,0.565,0.315,0.15
25,1.5874877609890121,0.011275695284159613,0.0,0.04,0.765,0.625,0.29,0.105
26,1.5850901605460523,0.011309283890904206,0.0,0.025,0.765,0.555,0.375,0.14
27,1.5844439093198217,0.011307604460566976,0.0,0.03,0.76,0.61,0.36,0.135
28,1.5848923693448966,0.011186685476286444,0.0,0.03,0.72,0.55,0.345,0.11
29,1.5815701389559396,0.011371422813381701,0.0,0.045,0.765,0.54,0.315,0.105
30,1.5809615359805402,0.011196762058309821,0.0,0.05,0.805,0.605,0.305,0.135
31,1.5806463395381636,0.011490662367325004,0.0,0.04,0.73,0.605,0.285,0.105
32,1.5798111674511095,0.011584710466209862,0.0,0.045,0.8,0.545,0.37,0.115
33,1.5809747477300413,0.011221953513368266,0.0,0.035,0.805,0.545,0.34,0.145
34,1.5791047763042867,0.011344551927986028,0.0,0.03,0.755,0.53,0.34,0.13
35,1.5776147678576538,0.011401652559451834,0.0,0.045,0.79,0.585,0.32,0.125
36,1.5780889221245478,0.011321039903264813,0.0,0.05,0.785,0.64,0.39,0.19
37,1.5771449211943331,0.011658605401047965,0.0,0.035,0.765,0.6,0.325,0.15
38,1.5770173686367202,0.011559519011151417,0.0,0.05,0.8,0.595,0.395,0.19
39,1.5760445690693177,0.011253862689775629,0.0,0.045,0.79,0.545,0.33,0.14
40,1.5746366338497302,0.01146043262125487,0.0,0.045,0.715,0.54,0.355,0.14
