epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,2.254849291164901,0.004277509068923821,0.0,0.15,0.935,0.795,0.595,0.38
2,1.8639322583015192,0.007194679564691657,0.0,0.17,0.905,0.81,0.66,0.445
3,1.7147995212346208,0.00852478839177751,0.0,0.175,0.93,0.84,0.64,0.435
4,1.5935718444267235,0.009764207980652962,0.0,0.22,0.945,0.84,0.715,0.505
5,1.4839603826962187,0.011048972188633616,0.0,0.2,0.925,0.815,0.69,0.5
6,1.383601725144715,0.011925634824667472,0.0,0.2,0.93,0.85,0.705,0.51
7,1.2920483024045375,0.011880290205562274,0.0,0.185,0.935,0.82,0.675,0.46
8,1.208652572829317,0.013724304715840387,0.0,0.205,0.95,0.815,0.7,0.475
9,1.135822288437939,0.014525392986698912,0.0,0.215,0.95,0.855,0.69,0.51
10,1.0719042468316033,0.015039298669891173,0.0,0.165,0.935,0.85,0.705,0.475
11,1.0021237450398441,0.01629383313180169,0.0,0.16,0.92,0.82,0.65,0.465
12,0.9513067767582608,0.016233373639661427,0.0,0.16,0.92,0.79,0.655,0.47
13,0.9006225129064654,0.017064691656590084,0.0,0.145,0.93,0.805,0.65,0.47
14,0.8554990217612185,0.017397218863361548,0.0,0.165,0.91,0.855,0.675,0.445
15,0.8133290920645323,0.01785066505441354,0.0,0.17,0.91,0.795,0.645,0.435
16,0.7789808351947434,0.01972490931076179,0.0,0.155,0.925,0.8,0.645,0.49
17,0.7494354492519614,0.019619105199516325,0.0,0.165,0.9,0.795,0.665,0.445
18,0.7155685186458182,0.01933192261185006,0.0,0.155,0.91,0.85,0.68,0.445
19,0.6936339732777539,0.021553808948004835,0.0,0.185,0.91,0.83,0.695,0.495
20,0.6696746681340516,0.021296856106408708,0.0,0.18,0.945,0.87,0.685,0.505
21,0.6448584207924851,0.02318621523579202,0.0,0.165,0.925,0.8,0.605,0.435
22,0.6308342006647601,0.02351874244256348,0.0,0.2,0.935,0.84,0.66,0.52
23,0.6096050818983416,0.02357920193470375,0.0,0.17,0.94,0.8,0.705,0.435
24,0.5954680670705932,0.024365175332527206,0.0,0.175,0.945,0.825,0.645,0.43
25,0.5761512397584633,0.025151148730350664,0.0,0.165,0.885,0.8,0.69,0.43
26,0.5646684639164874,0.025937122128174124,0.0,0.175,0.9,0.835,0.62,0.4
27,0.5535659915158365,0.025453446191051995,0.0,0.16,0.935,0.825,0.67,0.44
28,0.5387780098647708,0.026405683192261185,0.0,0.145,0.93,0.835,0.685,0.47
29,0.529989003344127,0.027781136638452237,0.0,0.195,0.93,0.835,0.665,0.505
30,0.5193955697542667,0.028189238210399033,0.0,0.14,0.94,0.8,0.635,0.42
31,0.5099818713575638,0.028415961305925032,0.0,0.16,0.925,0.815,0.66,0.415
32,0.49971359943860677,0.029489117291414752,0.0,0.155,0.92,0.78,0.655,0.415
33,0.49274250067311015,0.029519347037484885,0.0,0.175,0.875,0.82,0.64,0.41
34,0.4787470661851486,0.030773881499395406,0.0,0.14,0.905,0.81,0.65,0.41
35,0.47451706974257,0.030169286577992744,0.0,0.14,0.9,0.855,0.615,0.41
36,0.4734799650769136,0.03083434099153567,0.0,0.175,0.9,0.825,0.68,0.465
37,0.45944711968861296,0.03134824667472793,0.0,0.14,0.935,0.78,0.61,0.43
38,0.45408066557100923,0.03208887545344619,0.0,0.16,0.905,0.835,0.61,0.38
39,0.4456706854928073,0.03210399032648126,0.0,0.135,0.88,0.81,0.625,0.4
40,0.44366783121873277,0.03278415961305925,0.0,0.13,0.905,0.82,0.635,0.365
