epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,2.2211431069126153,0.005063482466747279,0.0,0.145,0.93,0.805,0.595,0.405
2,1.956934111323005,0.006967956469165659,0.0,0.155,0.92,0.815,0.645,0.42
3,1.8072508409060764,0.007935308343409915,0.0,0.21,0.96,0.855,0.7,0.495
4,1.678423485559881,0.010655985489721886,0.0,0.18,0.945,0.815,0.695,0.435
5,1.549810085071762,0.012605804111245466,0.0,0.21,0.975,0.875,0.71,0.525
6,1.4315521391876664,0.012817412333736396,0.0,0.22,0.95,0.9,0.735,0.56
7,1.3252200179117335,0.015069528415961306,0.0,0.185,0.945,0.88,0.695,0.48
8,1.2124775551538802,0.01612756952841596,0.0,0.205,0.975,0.855,0.73,0.485
9,1.1180329920807368,0.019014510278113662,0.0,0.2,0.945,0.845,0.715,0.53
10,1.0288180019864148,0.020223700120918984,0.0,0.2,0.95,0.815,0.68,0.485
11,0.9594209681038701,0.02246070133010883,0.0,0.18,0.96,0.885,0.655,0.485
12,0.8957213090005204,0.022203748488512698,0.0,0.195,0.945,0.83,0.645,0.47
13,0.8316671952443082,0.02357920193470375,0.0,0.19,0.94,0.815,0.7,0.5
14,0.786816710875141,0.02634522370012092,0.0,0.195,0.955,0.815,0.675,0.485
15,0.7375457623092843,0.027781136638452237,0.0,0.24,0.945,0.845,0.675,0.51
16,0.7035704012036756,0.028944981862152358,0.0,0.17,0.955,0.835,0.69,0.435
17,0.6703755537212399,0.030456469165659007,0.0,0.17,0.93,0.885,0.72,0.47
18,0.6405820517146458,0.032134220072551394,0.0,0.16,0.94,0.835,0.66,0.45
19,0.6163826126141301,0.03382708585247884,0.0,0.135,0.93,0.855,0.705,0.47
20,0.5931458298427739,0.03629081015719468,0.0,0.185,0.94,0.87,0.75,0.49
21,0.5694042216369289,0.036260580411124545,0.0,0.205,0.93,0.86,0.685,0.5
22,0.5518414968807147,0.037605804111245464,0.0,0.13,0.94,0.83,0.66,0.485
23,0.5338402630880638,0.03775695284159613,0.0,0.18,0.925,0.8,0.745,0.49
24,0.5152476679240922,0.03893591293833132,0.0,0.18,0.935,0.82,0.67,0.455
25,0.5014649442724767,0.040477629987908104,0.0,0.195,0.915,0.85,0.68,0.465
26,0.4928687967819487,0.04185308343409915,0.0,0.155,0.905,0.82,0.64,0.45
27,0.47794871425217844,0.04263905683192261,0.0,0.19,0.92,0.795,0.705,0.415
28,0.4699597397443029,0.04344014510278114,0.0,0.19,0.92,0.775,0.625,0.47
29,0.458508533084407,0.04525392986698912,0.0,0.17,0.94,0.84,0.685,0.52
30,0.4526963425104246,0.04767230955259976,0.0,0.195,0.925,0.85,0.68,0.48
31,0.44062765565719975,0.047309552599758165,0.0,0.18,0.945,0.8,0.705,0.44
32,0.4346181723414194,0.04761185006045949,0.0,0.185,0.94,0.855,0.68,0.465
33,0.42009081848623386,0.05040810157194679,0.0,0.165,0.92,0.86,0.71,0.495
34,0.41534927107366715,0.05061970979443773,0.0,0.145,0.925,0.83,0.665,0.425
35,0.4115347653429194,0.05125453446191052,0.0,0.195,0.91,0.82,0.615,0.465
36,0.4031690369809481,0.051194074969770256,0.0,0.155,0.94,0.86,0.685,0.435
37,0.3929977359459651,0.05234280532043531,0.0,0.2,0.94,0.815,0.675,0.445
38,0.39229649451292126,0.05220677146311971,0.0,0.165,0.93,0.795,0.63,0.435
39,0.38595599741320225,0.05411124546553809,0.0,0.175,0.93,0.835,0.64,0.44
40,0.37724126117008916,0.05497279322853688,0.0,0.18,0.935,0.86,0.615,0.455
