epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,6.655652244817369,0.0023498009896729777,0.0,0.07,0.835,0.675,0.45,0.21
2,6.268445143806339,0.0047365802495697076,0.0,0.095,0.815,0.695,0.435,0.22
3,6.1351708036281565,0.005827439221170396,0.0,0.085,0.865,0.67,0.425,0.22
4,6.041135024696127,0.006908213209982788,0.0,0.085,0.835,0.68,0.47,0.24
5,5.965270330491451,0.007538524634251291,0.0,0.085,0.85,0.73,0.52,0.285
6,5.899059683853911,0.008276409208261618,0.0,0.075,0.85,0.69,0.485,0.285
7,5.839028343686548,0.00926473752151463,0.0,0.135,0.875,0.67,0.505,0.3
8,5.783922504845257,0.009676540985370052,0.0,0.095,0.855,0.725,0.45,0.265
9,5.73524464920753,0.010486701269363167,0.0,0.12,0.86,0.665,0.49,0.305
10,5.6908627015998565,0.011063226118760757,0.0,0.11,0.87,0.675,0.47,0.26
11,5.650576969021979,0.011624623493975904,0.0,0.1,0.87,0.685,0.47,0.255
12,5.614969773875251,0.01239612467728055,0.0,0.095,0.86,0.72,0.42,0.28
13,5.580516821751291,0.012636483433734939,0.0,0.085,0.85,0.695,0.48,0.28
14,5.549053150282054,0.013234859079173837,0.0,0.105,0.825,0.62,0.43,0.265
15,5.521805772272527,0.013490345309810671,0.0,0.095,0.87,0.675,0.45,0.285
16,5.494435814284622,0.01399627527969019,0.0,0.115,0.83,0.65,0.49,0.28
17,5.470151663236897,0.014176124139414803,0.0,0.12,0.86,0.645,0.49,0.27
18,5.448885802763054,0.014478673623063683,0.0,0.1,0.875,0.69,0.455,0.26
19,5.426117836300559,0.015248493975903615,0.0,0.085,0.875,0.685,0.475,0.275
20,5.40676095358476,0.015431704496557659,0.0,0.11,0.815,0.685,0.505,0.24
21,5.386961642312921,0.015495576054216868,0.0,0.11,0.87,0.66,0.475,0.28
22,5.370929485754384,0.01586872041738382,0.0,0.1,0.835,0.745,0.51,0.285
23,5.351394679583288,0.016166227409638554,0.0,0.095,0.875,0.71,0.47,0.265
24,5.335583273186741,0.01692596277969019,0.0,0.11,0.825,0.67,0.49,0.295
25,5.321107391646315,0.017041940081755594,0.0,0.105,0.855,0.635,0.435,0.275
26,5.307280304099525,0.016697369836488812,0.0,0.095,0.815,0.605,0.455,0.255
27,5.292679280299122,0.017326000430292598,0.0,0.095,0.825,0.63,0.44,0.275
28,5.278408423143081,0.017374744513769365,0.0,0.11,0.85,0.645,0.485,0.255
29,5.267117893429098,0.01753106174698795,0.0,0.09,0.815,0.67,0.46,0.255
30,5.254377800913563,0.01767897482788296,0.0,0.085,0.825,0.67,0.475,0.275
31,5.240284612790237,0.018005055938037865,0.0,0.105,0.815,0.715,0.48,0.275
32,5.232911686889071,0.018363072827022375,0.0,0.105,0.89,0.685,0.42,0.27
33,5.222921871277223,0.018302562930292598,0.0,0.1,0.82,0.685,0.465,0.27
34,5.2109295349318066,0.01825213801635112,0.0,0.095,0.875,0.6,0.445,0.235
35,5.2007662958614596,0.01850930507745267,0.0,0.095,0.87,0.655,0.465,0.26
36,5.1912098078637445,0.01874798300344234,0.0,0.11,0.865,0.67,0.455,0.295
37,5.182186669203583,0.01913961650172117,0.0,0.105,0.84,0.655,0.48,0.265
38,5.172260180192642,0.019232062177280553,0.0,0.105,0.85,0.63,0.47,0.265
39,5.163351191916277,0.019250551312392426,0.0,0.12,0.815,0.655,0.47,0.29
40,5.155813079282462,0.019393421901893287,0.0,0.105,0.825,0.63,0.455,0.25
