epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,6.928255140781403,0.003631591796875,0.0,0.1,0.92,0.805,0.625,0.385
2,5.971953094005585,0.0083770751953125,0.0,0.17,0.935,0.85,0.735,0.48
3,5.783463634550571,0.010040283203125,0.0,0.225,0.95,0.865,0.695,0.515
4,5.642631635069847,0.0120086669921875,0.0,0.265,0.95,0.9,0.73,0.52
5,5.524152383208275,0.013214111328125,0.0,0.255,0.95,0.9,0.75,0.545
6,5.411330528557301,0.0157623291015625,0.0,0.27,0.94,0.88,0.77,0.545
7,5.310651622712612,0.0160369873046875,0.0,0.29,0.95,0.9,0.74,0.54
8,5.209526963531971,0.0178985595703125,0.0,0.28,0.965,0.9,0.825,0.555
9,5.108657591044903,0.0205535888671875,0.0,0.29,0.965,0.9,0.74,0.58
10,5.01208358258009,0.021575927734375,0.0,0.285,0.975,0.865,0.765,0.605
11,4.909182816743851,0.0234222412109375,0.0,0.275,0.96,0.875,0.79,0.55
12,4.812729135155678,0.02545166015625,0.0,0.29,0.975,0.93,0.72,0.585
13,4.701552033424377,0.0267181396484375,0.0,0.28,0.96,0.9,0.805,0.58
14,4.6004491820931435,0.0275726318359375,0.0,0.29,0.955,0.895,0.79,0.59
15,4.492866329848766,0.0303497314453125,0.0,0.265,0.945,0.9,0.705,0.585
16,4.385534301400185,0.03363037109375,0.0,0.275,0.975,0.9,0.765,0.575
17,4.277149148285389,0.0352935791015625,0.0,0.255,0.965,0.895,0.77,0.56
18,4.1691949144005775,0.037078857421875,0.0,0.255,0.95,0.89,0.73,0.55
19,4.0701554380357265,0.0389862060546875,0.0,0.265,0.955,0.895,0.76,0.55
20,3.9612320847809315,0.0397491455078125,0.0,0.235,0.955,0.895,0.73,0.55
21,3.856550969183445,0.0440521240234375,0.0,0.255,0.945,0.88,0.725,0.54
22,3.759777519851923,0.0458526611328125,0.0,0.26,0.955,0.885,0.775,0.575
23,3.653245896100998,0.0474090576171875,0.0,0.28,0.965,0.875,0.78,0.575
24,3.558711241930723,0.0494232177734375,0.0,0.25,0.97,0.865,0.765,0.575
25,3.4644093438982964,0.0525360107421875,0.0,0.255,0.97,0.875,0.74,0.58
26,3.3660272993147373,0.0540771484375,0.0,0.24,0.96,0.85,0.76,0.545
27,3.2690381705760956,0.0576171875,0.0,0.265,0.95,0.875,0.73,0.565
28,3.1753763742744923,0.0596160888671875,0.0,0.245,0.97,0.845,0.71,0.485
29,3.0958346985280514,0.05975341796875,0.0,0.27,0.945,0.875,0.72,0.545
30,3.0197167955338955,0.0623931884765625,0.0,0.255,0.95,0.865,0.73,0.535
31,2.942828807979822,0.0650787353515625,0.0,0.24,0.925,0.855,0.75,0.52
32,2.855674508959055,0.067535400390625,0.0,0.215,0.935,0.885,0.685,0.535
33,2.773545380681753,0.0706024169921875,0.0,0.24,0.96,0.86,0.695,0.525
34,2.702637702226639,0.07135009765625,0.0,0.24,0.945,0.88,0.705,0.53
35,2.6357402466237545,0.0732879638671875,0.0,0.24,0.97,0.895,0.73,0.52
36,2.5693483911454678,0.0748748779296875,0.0,0.215,0.93,0.855,0.73,0.485
37,2.5018589422106743,0.0757904052734375,0.0,0.21,0.95,0.84,0.735,0.505
38,2.4320195727050304,0.079345703125,0.0,0.23,0.935,0.88,0.74,0.51
39,2.370833419263363,0.0831146240234375,0.0,0.24,0.94,0.87,0.69,0.495
40,2.3143473640084267,0.082977294921875,0.0,0.23,0.955,0.85,0.76,0.5
