epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,6.427813983825316,0.0031128980206540447,0.0,0.025,0.795,0.6,0.415,0.2
2,6.423029321811696,0.0031549187822719447,0.0,0.025,0.84,0.585,0.395,0.195
3,6.419901119862489,0.003166684595524957,0.0,0.03,0.77,0.605,0.37,0.2
4,6.416900807116405,0.003153237951807229,0.0,0.03,0.79,0.58,0.39,0.2
5,6.415819543158946,0.003269215253872633,0.0,0.025,0.8,0.605,0.415,0.2
6,6.416047822587871,0.003178450408777969,0.0,0.025,0.805,0.675,0.405,0.195
7,6.413457601287894,0.0032557686101549054,0.0,0.025,0.805,0.63,0.4,0.19
8,6.413451601839312,0.003260811101549053,0.0,0.025,0.82,0.595,0.375,0.19
9,6.411602432264108,0.003191897052495697,0.0,0.025,0.76,0.645,0.37,0.185
10,6.411655371858003,0.003144833799483649,0.0,0.03,0.835,0.595,0.34,0.195
11,6.410868695598872,0.003217109509466437,0.0,0.03,0.815,0.56,0.4,0.185
12,6.410868555256093,0.0032305561531841653,0.0,0.025,0.8,0.61,0.405,0.2
13,6.41078558394913,0.0032624919320137693,0.0,0.03,0.82,0.63,0.315,0.195
14,6.410915234413081,0.0033028318631669537,0.0,0.03,0.81,0.575,0.4,0.19
15,6.409727858183921,0.003208705357142857,0.0,0.03,0.8,0.6,0.345,0.185
16,6.408101923084095,0.003168365425989673,0.0,0.025,0.795,0.58,0.365,0.19
17,6.407934748572449,0.0032708960843373493,0.0,0.025,0.785,0.605,0.36,0.19
18,6.407587062060935,0.003235598644578313,0.0,0.025,0.76,0.625,0.36,0.195
19,6.4064597771623255,0.0032977893717728054,0.0,0.025,0.835,0.57,0.375,0.175
20,6.4060372173683575,0.0032238328313253014,0.0,0.025,0.83,0.62,0.395,0.185
21,6.407003925507327,0.0032776194061962132,0.0,0.03,0.77,0.62,0.395,0.185
22,6.405536517834294,0.0031280254948364886,0.0,0.03,0.8,0.585,0.32,0.18
23,6.405565849474908,0.003242321966437177,0.0,0.025,0.795,0.59,0.37,0.18
24,6.405306338443198,0.0032473644578313253,0.0,0.025,0.79,0.67,0.395,0.18
25,6.4037412850253554,0.0032641727624784854,0.0,0.025,0.775,0.585,0.35,0.185
26,6.404552577900189,0.0032540877796901893,0.0,0.025,0.765,0.58,0.345,0.185
27,6.403692611523627,0.003244002796901893,0.0,0.025,0.79,0.58,0.365,0.175
28,6.4038142977401025,0.003437298300344234,0.0,0.025,0.815,0.605,0.375,0.185
29,6.40243338799928,0.0032860235585197932,0.0,0.025,0.765,0.57,0.335,0.175
30,6.402135547795518,0.003378469234079174,0.0,0.025,0.79,0.545,0.355,0.17
31,6.402405802025853,0.0032574494406196215,0.0,0.03,0.785,0.595,0.37,0.18
32,6.40148487435766,0.0033919158777969017,0.0,0.025,0.83,0.57,0.395,0.17
33,6.401678510459073,0.0032540877796901893,0.0,0.03,0.805,0.565,0.44,0.17
34,6.4015695133636,0.0032322369836488814,0.0,0.025,0.785,0.605,0.34,0.175
35,6.401457325316542,0.0032877043889845093,0.0,0.025,0.79,0.585,0.33,0.18
36,6.400177057761949,0.0032961085413080893,0.0,0.025,0.805,0.63,0.385,0.17
37,6.40039969557534,0.0033061935240963855,0.0,0.025,0.795,0.575,0.345,0.17
38,6.399697333317821,0.003269215253872633,0.0,0.025,0.82,0.645,0.375,0.165
39,6.399915509708162,0.0032322369836488814,0.0,0.025,0.785,0.6,0.345,0.175
40,6.399592828011964,0.003233917814113597,0.0,0.025,0.785,0.545,0.345,0.165
