epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,7.27866493165493,0.000701904296875,0.0,0.005,0.505,0.245,0.135,0.025
2,6.614564724266529,0.0020751953125,0.0,0.03,0.62,0.385,0.205,0.06
3,6.150385573506355,0.0052490234375,0.0,0.06,0.835,0.59,0.375,0.175
4,5.849248975515366,0.0078887939453125,0.0,0.1,0.85,0.745,0.54,0.28
5,5.639309346675873,0.01171875,0.0,0.125,0.895,0.78,0.57,0.375
6,5.464168556034565,0.0131988525390625,0.0,0.195,0.93,0.82,0.675,0.435
7,5.3161502331495285,0.0155029296875,0.0,0.145,0.9,0.84,0.66,0.45
8,5.167760297656059,0.017364501953125,0.0,0.175,0.955,0.82,0.695,0.47
9,5.028985656797886,0.01995849609375,0.0,0.17,0.905,0.845,0.695,0.445
10,4.8928713127970695,0.0206451416015625,0.0,0.15,0.95,0.84,0.695,0.44
11,4.7634966894984245,0.02337646484375,0.0,0.135,0.92,0.84,0.69,0.485
12,4.634370602667332,0.0259552001953125,0.0,0.16,0.915,0.83,0.625,0.46
13,4.5008352771401405,0.0291900634765625,0.0,0.17,0.915,0.86,0.625,0.435
14,4.37847276777029,0.0319366455078125,0.0,0.17,0.94,0.805,0.635,0.44
15,4.251104362308979,0.0343017578125,0.0,0.155,0.94,0.85,0.675,0.425
16,4.137305464595556,0.0355987548828125,0.0,0.18,0.91,0.825,0.67,0.435
17,4.021480083465576,0.0380706787109375,0.0,0.18,0.92,0.835,0.64,0.455
18,3.91549688950181,0.0408172607421875,0.0,0.22,0.905,0.78,0.665,0.435
19,3.813609927892685,0.044219970703125,0.0,0.195,0.915,0.83,0.665,0.44
20,3.713889442384243,0.0457611083984375,0.0,0.195,0.94,0.805,0.7,0.455
21,3.608815636485815,0.048187255859375,0.0,0.19,0.925,0.825,0.615,0.45
22,3.5090066380798817,0.0510101318359375,0.0,0.18,0.91,0.825,0.67,0.44
23,3.408110171556473,0.053802490234375,0.0,0.21,0.905,0.835,0.65,0.445
24,3.3185796663165092,0.05645751953125,0.0,0.205,0.94,0.835,0.675,0.475
25,3.229698084294796,0.0581512451171875,0.0,0.18,0.93,0.84,0.68,0.445
26,3.133067674934864,0.0610809326171875,0.0,0.19,0.895,0.8,0.665,0.45
27,3.042147073894739,0.0637054443359375,0.0,0.175,0.92,0.785,0.66,0.475
28,2.9673850126564503,0.0657501220703125,0.0,0.205,0.915,0.83,0.625,0.455
29,2.886172115802765,0.0701904296875,0.0,0.19,0.875,0.8,0.64,0.445
30,2.8131938241422176,0.070281982421875,0.0,0.18,0.955,0.81,0.665,0.465
31,2.734373476356268,0.0732269287109375,0.0,0.195,0.89,0.775,0.655,0.45
32,2.66572230681777,0.0766143798828125,0.0,0.22,0.905,0.79,0.625,0.44
33,2.5969099812209606,0.0785064697265625,0.0,0.165,0.9,0.775,0.635,0.43
34,2.5291294157505035,0.0801239013671875,0.0,0.195,0.895,0.775,0.655,0.415
35,2.4571542032063007,0.0823211669921875,0.0,0.2,0.865,0.835,0.625,0.44
36,2.398721259087324,0.0848846435546875,0.0,0.18,0.9,0.825,0.625,0.435
37,2.3360707946121693,0.08660888671875,0.0,0.18,0.885,0.775,0.58,0.42
38,2.276020936667919,0.0895538330078125,0.0,0.18,0.9,0.775,0.625,0.46
39,2.2129417080432177,0.0924530029296875,0.0,0.195,0.91,0.81,0.615,0.455
40,2.1692490614950657,0.0938720703125,0.0,0.175,0.91,0.8,0.615,0.465
