epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,1.8113182025315795,0.008534864973800887,0.0,0.13,0.89,0.74,0.55,0.345
2,1.7834777162774313,0.008620515920999597,0.0,0.08,0.87,0.72,0.465,0.25
3,1.761801782564724,0.008832124143490529,0.0,0.11,0.905,0.685,0.5,0.315
4,1.7452813241505165,0.008890904205293565,0.0,0.08,0.87,0.655,0.465,0.27
5,1.731947971851006,0.009132742173854628,0.0,0.07,0.84,0.715,0.4,0.23
6,1.7197189082930233,0.009278852613193604,0.0,0.055,0.82,0.635,0.395,0.175
7,1.7086221208819679,0.009423283622195352,0.0,0.055,0.86,0.65,0.45,0.235
8,1.697779377453689,0.009723901652559451,0.0,0.08,0.785,0.61,0.365,0.19
9,1.684888259893333,0.009611379819965068,0.0,0.04,0.805,0.59,0.315,0.17
10,1.6785156373709869,0.009681915894128711,0.0,0.055,0.77,0.6,0.345,0.21
11,1.6690406112873986,0.009843141206502754,0.0,0.055,0.83,0.565,0.4,0.195
12,1.661513655709112,0.010063146580679833,0.0,0.06,0.785,0.645,0.375,0.25
13,1.6550528818795747,0.010165591831250839,0.0,0.045,0.815,0.585,0.395,0.195
14,1.6488636111165669,0.010128644363831788,0.0,0.02,0.775,0.56,0.33,0.165
15,1.6428874112066043,0.010137041515517937,0.0,0.045,0.79,0.585,0.35,0.155
16,1.6373727749484082,0.010442697836893725,0.0,0.045,0.78,0.595,0.3,0.17
17,1.6319156739286689,0.01033521429531103,0.0,0.055,0.78,0.535,0.375,0.17
18,1.6264740435295202,0.01038223834475346,0.0,0.055,0.775,0.565,0.34,0.17
19,1.6216998852774387,0.010477965873975547,0.0,0.055,0.775,0.6,0.385,0.185
20,1.6170636563904581,0.010531707644766896,0.0,0.05,0.81,0.605,0.37,0.19
21,1.6115135341534352,0.01050987505038291,0.0,0.03,0.715,0.55,0.365,0.155
22,1.6102610308909695,0.010862555421201129,0.0,0.035,0.755,0.585,0.335,0.155
23,1.604663533862041,0.010563616821174258,0.0,0.04,0.78,0.575,0.375,0.175
24,1.600319852920913,0.010582090554883784,0.0,0.06,0.735,0.545,0.32,0.175
25,1.5954186043319052,0.010526669353755206,0.0,0.045,0.77,0.565,0.35,0.175
26,1.594451374171899,0.010798737068386403,0.0,0.025,0.76,0.56,0.275,0.165
27,1.59071127267898,0.010798737068386403,0.0,0.05,0.795,0.51,0.33,0.17
28,1.5885605570675143,0.010874311433561736,0.0,0.06,0.79,0.56,0.345,0.185
29,1.5852460818602707,0.010713086121187694,0.0,0.065,0.81,0.545,0.355,0.145
30,1.5821201137488654,0.010713086121187694,0.0,0.04,0.815,0.57,0.345,0.195
31,1.5794730253378486,0.011094316807738815,0.0,0.05,0.815,0.555,0.315,0.165
32,1.5773404153783877,0.010882708585247884,0.0,0.045,0.795,0.54,0.305,0.155
33,1.5747907763813254,0.01093980921671369,0.0,0.04,0.825,0.595,0.285,0.155
34,1.573017816572088,0.010788660486363027,0.0,0.055,0.775,0.54,0.365,0.145
35,1.5706504609897767,0.010731559854897219,0.0,0.045,0.765,0.58,0.37,0.185
36,1.5685135733595974,0.010953244659411528,0.0,0.05,0.75,0.57,0.37,0.155
37,1.5649789753899401,0.011054010479645304,0.0,0.055,0.75,0.6,0.36,0.21
38,1.5638185399619382,0.011080881365040977,0.0,0.04,0.73,0.62,0.34,0.15
39,1.5616712832249062,0.011361346231358323,0.0,0.06,0.71,0.575,0.295,0.14
40,1.5597091606959659,0.010973397823458284,0.0,0.06,0.77,0.57,0.39,0.18
