epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.941981449723244,0.001373291015625,0.02082550925668329,0.05,0.19
2,6.769365340471268,0.0019989013671875,0.02330787213984877,0.06,0.2
3,6.741201974451542,0.0021514892578125,0.026076873270794748,0.06,0.19
4,6.720026940107346,0.0020294189453125,0.02739819228183478,0.065,0.19
5,6.706447675824165,0.002349853515625,0.02968670944683254,0.075,0.205
6,6.695746034383774,0.002166748046875,0.030216439850628374,0.065,0.235
7,6.683990217745304,0.0024261474609375,0.031154427397996187,0.06,0.25
8,6.6737149730324745,0.002532958984375,0.033090442800894376,0.065,0.235
9,6.663312502205372,0.002685546875,0.03271759103983641,0.085,0.24
10,6.652802124619484,0.0026702880859375,0.035660964772105216,0.07,0.245
11,6.6495532393455505,0.002899169921875,0.03526277006603777,0.085,0.26
12,6.638758026063442,0.002593994140625,0.03594084702432156,0.08,0.24
13,6.631201863288879,0.0024566650390625,0.03650800719857216,0.09,0.26
14,6.6233614683151245,0.0025634765625,0.03747038166970015,0.085,0.27
15,6.61411726474762,0.0029144287109375,0.03875402252189815,0.08,0.25
16,6.604857563972473,0.0028839111328125,0.039528703540563585,0.085,0.26
17,6.596608467400074,0.0032501220703125,0.03948458503931761,0.075,0.23
18,6.586155764758587,0.0031585693359375,0.03992254628799856,0.075,0.27
19,6.576851710677147,0.0030517578125,0.04029936003498733,0.09,0.26
20,6.567537687718868,0.0031585693359375,0.04023647010326385,0.085,0.235
21,6.55598384141922,0.0031585693359375,0.04050158646889031,0.07,0.265
22,6.544954754412174,0.003326416015625,0.04038898164406419,0.085,0.255
23,6.532892666757107,0.0033111572265625,0.040642204703763125,0.085,0.27
24,6.518906235694885,0.00341796875,0.03992099286988378,0.085,0.265
25,6.508523479104042,0.0037994384765625,0.04095106560736895,0.075,0.27
26,6.499158002436161,0.00390625,0.04329713102430105,0.065,0.245
27,6.4845854714512825,0.003997802734375,0.04030110040679574,0.085,0.27
28,6.4716153889894485,0.003936767578125,0.04089758306741714,0.08,0.25
29,6.456793911755085,0.004058837890625,0.042155933110043405,0.07,0.235
30,6.444071292877197,0.004302978515625,0.04331314206123352,0.08,0.245
31,6.429805405437946,0.0045318603515625,0.04431529878638685,0.085,0.245
32,6.418797746300697,0.00439453125,0.043385155368596315,0.075,0.25
33,6.408073551952839,0.004608154296875,0.0425056813005358,0.07,0.24
34,6.390332460403442,0.004852294921875,0.04403570903465152,0.085,0.25
35,6.37997891753912,0.004608154296875,0.042674911245703696,0.075,0.235
36,6.363812111318111,0.0049285888671875,0.04259526501409709,0.075,0.25
37,6.348879024386406,0.0046234130859375,0.0425713515188545,0.075,0.24
38,6.337035313248634,0.00494384765625,0.043618785003200176,0.07,0.255
39,6.3234212175011635,0.0057220458984375,0.046439185901544985,0.06,0.235
40,6.308773428201675,0.00543212890625,0.04825756506063044,0.055,0.19
