epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.982735365629196,0.0006561279296875,0.008299636337906122,0.005,0.02
2,6.941016025841236,0.000732421875,0.007711607208475471,0.005,0.03
3,6.93809761852026,0.000701904296875,0.007768592978827656,0.005,0.025
4,6.9356656819581985,0.0008697509765625,0.007763620333280414,0.005,0.035
5,6.93306127935648,0.0006866455078125,0.008069034276995807,0.005,0.025
6,6.930201627314091,0.0009765625,0.008151287885848433,0.005,0.03
7,6.92752081155777,0.0010986328125,0.008089685023296624,0.005,0.035
8,6.92436958104372,0.00103759765625,0.008531533586792648,0.005,0.04
9,6.921364597976208,0.000885009765625,0.008750574835576118,0.005,0.025
10,6.918739974498749,0.0009307861328125,0.008837155213113875,0.005,0.035
11,6.914559051394463,0.0010986328125,0.010045601991005243,0.005,0.04
12,6.911156609654427,0.001312255859375,0.009547024285420775,0.005,0.035
13,6.9065613597631454,0.0010833740234375,0.010085161747410894,0.005,0.035
14,6.902881681919098,0.0013275146484375,0.010698569868691266,0.01,0.04
15,6.89824727922678,0.000946044921875,0.009969528270885349,0.01,0.035
16,6.893216609954834,0.000885009765625,0.010606544523034245,0.01,0.04
17,6.886756740510464,0.001190185546875,0.010660257623530924,0.01,0.045
18,6.881484739482403,0.0014495849609375,0.011632380429655314,0.01,0.03
19,6.875329539179802,0.0015411376953125,0.011465842593461275,0.01,0.035
20,6.866793140769005,0.001312255859375,0.011533559788949788,0.015,0.025
21,6.859695747494698,0.0013580322265625,0.011854281178675591,0.01,0.045
22,6.851506009697914,0.001373291015625,0.011489592627622187,0.0,0.03
23,6.8435960710048676,0.0016326904296875,0.013839051127433777,0.01,0.03
24,6.8338508903980255,0.0016326904296875,0.014906204822473228,0.01,0.04
25,6.824361048638821,0.00189208984375,0.012002424569800496,0.01,0.035
26,6.81323666870594,0.0016937255859375,0.015042680473998189,0.005,0.035
27,6.803665339946747,0.00177001953125,0.01557422781828791,0.005,0.045
28,6.793617494404316,0.00177001953125,0.01302549527026713,0.005,0.04
29,6.7838368862867355,0.001678466796875,0.011874975059181453,0.005,0.03
30,6.768224090337753,0.0021209716796875,0.014573419289663435,0.01,0.035
31,6.757274076342583,0.00201416015625,0.01304261505138129,0.01,0.03
32,6.745998404920101,0.002197265625,0.015506900558248162,0.01,0.03
33,6.732234939932823,0.0021820068359375,0.014581006546504795,0.0,0.035
34,6.719570375978947,0.0022125244140625,0.016361428895033895,0.01,0.045
35,6.708235256373882,0.0023345947265625,0.013476763856597246,0.015,0.025
36,6.697208575904369,0.00177001953125,0.013091817940585315,0.0,0.03
37,6.6829118728637695,0.0030364990234375,0.01521720047108829,0.005,0.04
38,6.672283589839935,0.002410888671875,0.014925267226062714,0.005,0.035
39,6.658473886549473,0.0027618408203125,0.017556912414729595,0.005,0.035
40,6.646478250622749,0.0023345947265625,0.017939500375650824,0.01,0.04
