epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.833009734749794,0.00164794921875,0.06868366031907498,0.03,0.105
2,6.761301547288895,0.0016021728515625,0.0797620029374957,0.05,0.135
3,6.7418705224990845,0.0019378662109375,0.07637565642595291,0.04,0.145
4,6.726377584040165,0.0024871826171875,0.07792027415707707,0.045,0.17
5,6.716039530932903,0.0022430419921875,0.08054803081788123,0.055,0.15
6,6.707431651651859,0.0026092529296875,0.0842058527097106,0.055,0.205
7,6.697889283299446,0.0022735595703125,0.08229134266264737,0.045,0.19
8,6.689274184405804,0.002777099609375,0.08234651482664049,0.055,0.185
9,6.6817754209041595,0.0023956298828125,0.08748279679566622,0.08,0.21
10,6.676756486296654,0.0024261474609375,0.08547544294968247,0.065,0.19
11,6.670408219099045,0.002960205078125,0.0814913048222661,0.08,0.2
12,6.6638173609972,0.0028076171875,0.08591097755357623,0.06,0.195
13,6.655395790934563,0.0029144287109375,0.07792744441889227,0.075,0.21
14,6.65052105486393,0.00323486328125,0.08383296554908157,0.075,0.24
15,6.642489060759544,0.0033721923828125,0.07865910801105201,0.06,0.21
16,6.636305071413517,0.0030975341796875,0.08009417716413736,0.06,0.2
17,6.631390154361725,0.0032196044921875,0.08262274329550565,0.065,0.22
18,6.623435474932194,0.00299072265625,0.08553530370816588,0.055,0.2
19,6.613340854644775,0.003387451171875,0.08839502258226276,0.05,0.21
20,6.6068160235881805,0.0033721923828125,0.08590344763360917,0.065,0.23
21,6.599963061511517,0.0035400390625,0.08420592691749335,0.065,0.225
22,6.588471502065659,0.0034332275390625,0.09360477355308831,0.065,0.225
23,6.57911379635334,0.003326416015625,0.09121710851788521,0.065,0.19
24,6.572182886302471,0.0032806396484375,0.09146159743890166,0.08,0.23
25,6.5635906010866165,0.003204345703125,0.08750859620049596,0.065,0.25
26,6.5560978800058365,0.003662109375,0.10232965591363609,0.06,0.255
27,6.545521765947342,0.00372314453125,0.10345107549801469,0.075,0.225
28,6.536102429032326,0.0036468505859375,0.09439642243087291,0.045,0.24
29,6.527166813611984,0.0032196044921875,0.09302050370723008,0.065,0.22
30,6.518504790961742,0.004119873046875,0.09920606708154082,0.065,0.235
31,6.509026102721691,0.0039215087890625,0.09870842024683953,0.055,0.235
32,6.496518827974796,0.0036773681640625,0.09154816025868058,0.06,0.24
33,6.48954451084137,0.003936767578125,0.09320018230006098,0.06,0.215
34,6.482777081429958,0.004547119140625,0.09635859979316592,0.045,0.25
35,6.47038684040308,0.004180908203125,0.09629828250035644,0.075,0.26
36,6.461748629808426,0.0043182373046875,0.09781887663528323,0.08,0.235
37,6.450793065130711,0.00408935546875,0.08566551853902638,0.075,0.24
38,6.4428819343447685,0.0042572021484375,0.08910983128473163,0.05,0.275
39,6.429486192762852,0.0044708251953125,0.09883857283741236,0.055,0.225
40,6.419251188635826,0.0044097900390625,0.10891701633110643,0.065,0.225
