epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.6579048708081245,0.0023651123046875,0.0343449645023793,0.055,0.23
2,6.459927447140217,0.00347900390625,0.03600653606466949,0.075,0.255
3,6.4024177342653275,0.0032806396484375,0.03832347050309181,0.08,0.31
4,6.362031601369381,0.0040435791015625,0.040747519806027414,0.09,0.315
5,6.332801535725594,0.004425048828125,0.04295294634997845,0.075,0.32
6,6.308866500854492,0.0049285888671875,0.04419334345497191,0.11,0.335
7,6.2913650795817375,0.0045928955078125,0.04512635556980968,0.105,0.365
8,6.274311639368534,0.0052490234375,0.04588052456267178,0.13,0.38
9,6.257941253483295,0.00506591796875,0.04797971347346902,0.1,0.38
10,6.2417376562952995,0.005096435546875,0.04848019058816135,0.115,0.365
11,6.225816026329994,0.0054473876953125,0.049914099145680665,0.13,0.375
12,6.21192629635334,0.005767822265625,0.049893107144162056,0.125,0.37
13,6.196158617734909,0.0057525634765625,0.05067438594996929,0.135,0.375
14,6.18200421333313,0.00616455078125,0.0512201215326786,0.13,0.38
15,6.171251304447651,0.0059814453125,0.0523934550024569,0.12,0.355
16,6.159138634800911,0.006256103515625,0.051838595597073434,0.125,0.38
17,6.144034989178181,0.0066070556640625,0.05336630052886903,0.14,0.37
18,6.126368038356304,0.0063934326171875,0.05320501120761037,0.14,0.395
19,6.116622433066368,0.00677490234375,0.0517247127648443,0.125,0.37
20,6.100507132709026,0.0066986083984375,0.05336171286180615,0.125,0.38
21,6.085565701127052,0.0070953369140625,0.05496442881412804,0.135,0.375
22,6.072089910507202,0.0072174072265625,0.054905577814206484,0.13,0.4
23,6.056369103491306,0.0070648193359375,0.056359242098405954,0.125,0.375
24,6.0500809997320175,0.00665283203125,0.05492664431221783,0.145,0.375
25,6.032442256808281,0.00775146484375,0.05464952597394586,0.135,0.38
26,6.013456106185913,0.0074005126953125,0.056088420776650307,0.14,0.4
27,6.002133123576641,0.0074462890625,0.05795869949273765,0.145,0.39
28,5.9864348247647285,0.007781982421875,0.05848069163970649,0.13,0.37
29,5.9736539497971535,0.0081787109375,0.05886000849306584,0.13,0.355
30,5.961124032735825,0.0086212158203125,0.06201519228518009,0.14,0.37
31,5.943457163870335,0.0081024169921875,0.060454393438994884,0.125,0.345
32,5.9266671016812325,0.0084991455078125,0.06130079500377178,0.13,0.345
33,5.921851851046085,0.0090484619140625,0.06198899803683162,0.135,0.35
34,5.900518253445625,0.0087890625,0.060318691795691846,0.11,0.35
35,5.8860234543681145,0.0088958740234375,0.06079409059137106,0.1,0.34
36,5.873615138232708,0.0093231201171875,0.06270605700090527,0.12,0.345
37,5.860844500362873,0.0092315673828125,0.06379553143866361,0.12,0.345
38,5.847305655479431,0.0098419189453125,0.06349458148702979,0.11,0.395
39,5.833873003721237,0.0097808837890625,0.06343049759045244,0.12,0.37
40,5.820547014474869,0.0099639892578125,0.06253580781631171,0.135,0.39
