epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.966190837323666,0.000579833984375,0.008083977131173014,0.005,0.025
2,6.93954049795866,0.0006256103515625,0.007544742980971932,0.005,0.02
3,6.937168762087822,0.00079345703125,0.007443996579386294,0.005,0.03
4,6.935945883393288,0.00079345703125,0.0076073955022729935,0.005,0.03
5,6.934477344155312,0.0007476806640625,0.0077927888184785845,0.01,0.025
6,6.932918012142181,0.0006866455078125,0.008018198448698968,0.005,0.02
7,6.9313881397247314,0.0008087158203125,0.008177975856233389,0.0,0.02
8,6.929862201213837,0.0006256103515625,0.008337863236665726,0.005,0.03
9,6.928931824862957,0.0008697509765625,0.008450361385475844,0.005,0.03
10,6.926253728568554,0.001007080078125,0.008865607902407646,0.005,0.04
11,6.923141434788704,0.0010223388671875,0.009354174351319671,0.005,0.035
12,6.920847579836845,0.0009307861328125,0.009349590088240801,0.0,0.025
13,6.918111331760883,0.0011444091796875,0.00855276826536283,0.015,0.03
14,6.915126219391823,0.001190185546875,0.009093504678457976,0.0,0.03
15,6.911373592913151,0.0013885498046875,0.00937218377366662,0.01,0.04
16,6.907828688621521,0.0009002685546875,0.009533189269714058,0.005,0.045
17,6.901948630809784,0.0010986328125,0.00883494404843077,0.01,0.025
18,6.897338874638081,0.001220703125,0.008685039300471544,0.0,0.03
19,6.893020071089268,0.001220703125,0.009569810945540666,0.005,0.04
20,6.887548536062241,0.001220703125,0.009520542486570775,0.0,0.03
21,6.882224217057228,0.00128173828125,0.009296184822451323,0.005,0.025
22,6.874647378921509,0.001495361328125,0.009024286302737891,0.015,0.035
23,6.869892254471779,0.001312255859375,0.010454994509927928,0.005,0.035
24,6.867197819054127,0.001495361328125,0.00965809493791312,0.005,0.025
25,6.857579261064529,0.0017242431640625,0.009915387211367487,0.0,0.04
26,6.849189348518848,0.001800537109375,0.010093508567661048,0.005,0.025
27,6.851846903562546,0.001556396484375,0.009355238201096653,0.005,0.02
28,6.836971066892147,0.0018768310546875,0.009841257347725332,0.005,0.03
29,6.826611451804638,0.001708984375,0.008777543725445867,0.0,0.02
30,6.818142905831337,0.0018310546875,0.009646288300864399,0.005,0.03
31,6.81019052118063,0.001953125,0.00921781568787992,0.01,0.04
32,6.798743382096291,0.001953125,0.011959181749261916,0.005,0.015
33,6.790050894021988,0.002166748046875,0.009251615051180124,0.01,0.015
34,6.7808375880122185,0.0019683837890625,0.010599369630217553,0.01,0.04
35,6.774653069674969,0.0021514892578125,0.011322253127582371,0.0,0.015
36,6.762695319950581,0.00201416015625,0.010718101407401264,0.0,0.02
37,6.753987975418568,0.001953125,0.012103764060884713,0.005,0.035
38,6.744105875492096,0.001861572265625,0.009914270276203752,0.005,0.025
39,6.732336901128292,0.0023193359375,0.010980771025642752,0.0,0.03
40,6.728958144783974,0.0024871826171875,0.011694212295114994,0.0,0.025
