epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,7.045540817081928,0.0005950927734375,0.020182417435571552,0.005,0.025
2,6.965861909091473,0.0005645751953125,0.017101864404976366,0.005,0.03
3,6.961316905915737,0.0005340576171875,0.015509227109141648,0.005,0.025
4,6.9596220180392265,0.0006256103515625,0.01598803186789155,0.005,0.025
5,6.958178453147411,0.0007476806640625,0.015044096135534346,0.005,0.025
6,6.9577819257974625,0.0005645751953125,0.016358167883008718,0.005,0.025
7,6.956879273056984,0.0005340576171875,0.014945315928198397,0.005,0.03
8,6.956345789134502,0.000762939453125,0.015120923314243554,0.005,0.025
9,6.956380784511566,0.00067138671875,0.015913976780138908,0.005,0.025
10,6.956363163888454,0.000579833984375,0.015825425363145768,0.01,0.025
11,6.955992341041565,0.000823974609375,0.014936340432614088,0.005,0.025
12,6.9555696696043015,0.000885009765625,0.01513540796469897,0.005,0.025
13,6.95545706897974,0.0006256103515625,0.015150172188878059,0.005,0.025
14,6.954778306186199,0.0005950927734375,0.01460151894018054,0.005,0.025
15,6.955177687108517,0.0006561279296875,0.014951181528158487,0.005,0.02
16,6.954124115407467,0.0004730224609375,0.01425110574811697,0.005,0.025
17,6.954301871359348,0.0007476806640625,0.01498225056566298,0.01,0.025
18,6.953477390110493,0.0004730224609375,0.014443321824073792,0.005,0.025
19,6.958456948399544,0.0005950927734375,0.014597438960336148,0.005,0.025
20,6.954602919518948,0.000396728515625,0.013924296563491225,0.005,0.025
21,6.953884929418564,0.0005645751953125,0.013523644730448724,0.005,0.025
22,6.952558435499668,0.000640869140625,0.013282383480109274,0.005,0.025
23,6.952011674642563,0.0005645751953125,0.013934722319245339,0.0,0.025
24,6.952063657343388,0.0007476806640625,0.014190981481224298,0.005,0.03
25,6.951464481651783,0.0005950927734375,0.014404906574636698,0.005,0.025
26,6.950618214905262,0.0006256103515625,0.015085862115956843,0.01,0.02
27,6.95034596323967,0.0006256103515625,0.013440363393165171,0.005,0.025
28,6.95004104077816,0.0006256103515625,0.01336081073153764,0.005,0.025
29,6.949659146368504,0.0006103515625,0.014205394629389047,0.005,0.025
30,6.949167795479298,0.0007171630859375,0.013910639053210615,0.005,0.035
31,6.948600850999355,0.0007781982421875,0.015213476628996431,0.005,0.025
32,6.9481944516301155,0.00067138671875,0.014063632991164922,0.005,0.025
33,6.947310283780098,0.000732421875,0.013765357248485089,0.005,0.03
34,6.947548396885395,0.0005950927734375,0.01464435110334307,0.01,0.025
35,6.94666562974453,0.0008697509765625,0.015263712671585382,0.005,0.03
36,6.9458547085523605,0.0008544921875,0.01295388765167445,0.005,0.035
37,6.945532590150833,0.000885009765625,0.012845186349004507,0.005,0.055
38,6.944972701370716,0.0007171630859375,0.013499716143123806,0.005,0.025
39,6.944251269102097,0.0009307861328125,0.0129214081261307,0.005,0.025
40,6.943258062005043,0.000579833984375,0.0133912159409374,0.0,0.02
