epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.819498434662819,0.001861572265625,0.04109558524563908,0.05,0.18
2,6.685140334069729,0.0021820068359375,0.05002012558281422,0.075,0.22
3,6.656832732260227,0.0027313232421875,0.05339775973930955,0.085,0.22
4,6.640109546482563,0.0029144287109375,0.05435046572238207,0.07,0.24
5,6.624401323497295,0.002960205078125,0.0566449595335871,0.09,0.23
6,6.6135850846767426,0.00250244140625,0.05993051068857312,0.095,0.23
7,6.605195164680481,0.00262451171875,0.05757892400957644,0.085,0.25
8,6.590799108147621,0.00274658203125,0.061179433977231384,0.06,0.21
9,6.582632929086685,0.003204345703125,0.05907594732940197,0.075,0.235
10,6.575290285050869,0.0030059814453125,0.06173577548004687,0.075,0.205
11,6.562612295150757,0.00274658203125,0.06066681777127087,0.065,0.265
12,6.554789692163467,0.0032501220703125,0.06115822492167353,0.075,0.22
13,6.545349337160587,0.003570556640625,0.061963765881955624,0.075,0.245
14,6.536300897598267,0.003082275390625,0.06331185625866055,0.075,0.225
15,6.52823881059885,0.00347900390625,0.05818159335292876,0.085,0.21
16,6.518053367733955,0.003662109375,0.05971619354560971,0.085,0.26
17,6.503482066094875,0.0033721923828125,0.058605398936197164,0.08,0.245
18,6.498089924454689,0.00384521484375,0.055924609676003455,0.09,0.265
19,6.48498772084713,0.0040283203125,0.06168456497602165,0.08,0.245
20,6.475724756717682,0.0038604736328125,0.05990984162315726,0.07,0.225
21,6.4622165113687515,0.003936767578125,0.05685141407884657,0.07,0.255
22,6.457653924822807,0.003997802734375,0.05970902545377612,0.065,0.21
23,6.439541645348072,0.0038299560546875,0.05743547393940389,0.075,0.28
24,6.426805354654789,0.004058837890625,0.062428566170856355,0.06,0.205
25,6.414724670350552,0.0042724609375,0.061703558294102546,0.065,0.25
26,6.404560662806034,0.0042572021484375,0.06051117196679115,0.065,0.17
27,6.389133274555206,0.004669189453125,0.059802028350532055,0.065,0.23
28,6.378519721329212,0.004852294921875,0.05923984100110829,0.05,0.2
29,6.3651925176382065,0.004791259765625,0.06470371367409826,0.06,0.2
30,6.35215550661087,0.0049896240234375,0.06114909360185265,0.055,0.205
31,6.334695219993591,0.00543212890625,0.062331236861646176,0.045,0.18
32,6.326354317367077,0.004913330078125,0.0652910843398422,0.04,0.18
33,6.308492377400398,0.0054168701171875,0.06122648596763611,0.05,0.215
34,6.297625429928303,0.005340576171875,0.06178250059485436,0.05,0.195
35,6.28616389632225,0.005615234375,0.06030962591990829,0.05,0.22
36,6.2698531076312065,0.0057525634765625,0.06605023885145783,0.04,0.175
37,6.259519770741463,0.0059051513671875,0.06460474990308285,0.04,0.165
38,6.250075809657574,0.0059356689453125,0.061104277754202484,0.065,0.21
39,6.231989957392216,0.005859375,0.0627458149380982,0.03,0.2
40,6.220892615616322,0.0059967041015625,0.06173938410356641,0.05,0.21
