epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.901938356459141,0.00115966796875,0.02109335007146001,0.02,0.085
2,6.83114866912365,0.0014190673828125,0.026547456299886106,0.03,0.125
3,6.813883312046528,0.00177001953125,0.032123234369792045,0.035,0.125
4,6.798350587487221,0.001861572265625,0.031299167973920704,0.04,0.125
5,6.789285622537136,0.0022125244140625,0.03087331251706928,0.05,0.15
6,6.777141474187374,0.001861572265625,0.03268906919751316,0.035,0.17
7,6.767861075699329,0.002166748046875,0.03218519387766719,0.05,0.165
8,6.761686854064465,0.0023651123046875,0.034714311035349964,0.05,0.165
9,6.753678061068058,0.002105712890625,0.03374287981074303,0.045,0.175
10,6.746543928980827,0.0020904541015625,0.035875925910659134,0.04,0.16
11,6.738360293209553,0.0022430419921875,0.03140306957997382,0.065,0.185
12,6.729055792093277,0.0023651123046875,0.037829596563242376,0.06,0.135
13,6.723182529211044,0.0025482177734375,0.034527873168699444,0.04,0.15
14,6.714078180491924,0.002471923828125,0.034964911048300566,0.04,0.14
15,6.70449885725975,0.0025787353515625,0.03680480103008449,0.055,0.155
16,6.699133217334747,0.0026397705078125,0.03240140238311142,0.04,0.17
17,6.687340311706066,0.0024566650390625,0.03149977079126984,0.04,0.155
18,6.676055900752544,0.0030364990234375,0.03618566599674523,0.055,0.135
19,6.6653114929795265,0.0028076171875,0.035630265269428495,0.06,0.14
20,6.655581548810005,0.0029296875,0.030107528739608824,0.04,0.17
21,6.643582932651043,0.0028228759765625,0.03498233609367162,0.035,0.115
22,6.630978345870972,0.003204345703125,0.03359455235768109,0.03,0.14
23,6.6184098571538925,0.003082275390625,0.03382524118293077,0.035,0.14
24,6.606963500380516,0.0030975341796875,0.03347585462965071,0.035,0.115
25,6.594974592328072,0.0032196044921875,0.03240924436599016,0.035,0.14
26,6.578803203999996,0.0038604736328125,0.042936663525179025,0.025,0.095
27,6.5661701783537865,0.0033111572265625,0.03747019690461457,0.025,0.09
28,6.551259323954582,0.0037689208984375,0.035052010901272294,0.045,0.115
29,6.537256471812725,0.0036773681640625,0.03657993698492646,0.045,0.115
30,6.526165954768658,0.0038604736328125,0.03488239306490868,0.045,0.11
31,6.513969205319881,0.0042724609375,0.030869013997726142,0.045,0.13
32,6.500746972858906,0.004302978515625,0.04009535176679492,0.04,0.095
33,6.482346974313259,0.004058837890625,0.03780444578267634,0.03,0.085
34,6.471337988972664,0.00408935546875,0.0354966636467725,0.035,0.1
35,6.458245351910591,0.0039215087890625,0.0310045644082129,0.03,0.155
36,6.442741684615612,0.0043792724609375,0.03333690781611949,0.04,0.125
37,6.431949719786644,0.0043792724609375,0.039489169297739865,0.035,0.11
38,6.4160474091768265,0.0048980712890625,0.03994200958870351,0.045,0.125
39,6.404738515615463,0.004486083984375,0.03358792741317302,0.03,0.1
40,6.389656722545624,0.004669189453125,0.037771540423855186,0.025,0.095
