epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.987509205937386,0.0006866455078125,0.00843041765037924,0.005,0.03
2,6.936822474002838,0.0007781982421875,0.007957303158473223,0.005,0.03
3,6.930827654898167,0.0008697509765625,0.008034598226659,0.01,0.04
4,6.926168575882912,0.000885009765625,0.007982715009711682,0.005,0.02
5,6.923088431358337,0.0009307861328125,0.00796604145085439,0.0,0.025
6,6.919346712529659,0.0008392333984375,0.007795270495116711,0.005,0.035
7,6.916493207216263,0.000885009765625,0.007861343128606677,0.005,0.035
8,6.91337051987648,0.001007080078125,0.008343628847505898,0.005,0.045
9,6.909140773117542,0.0010986328125,0.008433300065807997,0.005,0.035
10,6.9049180299043655,0.0010528564453125,0.008698086747899651,0.01,0.045
11,6.901303894817829,0.0012969970703125,0.008743221757467836,0.01,0.05
12,6.896800950169563,0.0009918212890625,0.008785753133706749,0.005,0.05
13,6.891978971660137,0.0011138916015625,0.008535426701419055,0.005,0.035
14,6.88513869792223,0.001129150390625,0.009170569498091936,0.01,0.04
15,6.878723926842213,0.0010986328125,0.008268256655428559,0.015,0.055
16,6.872020967304707,0.001312255859375,0.008984102217946202,0.015,0.05
17,6.86485455930233,0.00128173828125,0.008691889129113405,0.005,0.05
18,6.856803849339485,0.001617431640625,0.00921949171461165,0.01,0.075
19,6.846285775303841,0.00140380859375,0.009081369256600738,0.01,0.06
20,6.837862633168697,0.0015411376953125,0.008698430855292826,0.0,0.065
21,6.827038459479809,0.0015869140625,0.009829124817624688,0.02,0.035
22,6.81594480574131,0.001708984375,0.008904091734439134,0.01,0.065
23,6.804338954389095,0.0016326904296875,0.00992517635691911,0.005,0.035
24,6.79146733134985,0.0018157958984375,0.010289225219748914,0.01,0.025
25,6.7782962173223495,0.0018157958984375,0.009169896731618792,0.015,0.055
26,6.762571059167385,0.001983642578125,0.010647441276814789,0.01,0.05
27,6.749665953218937,0.0023345947265625,0.010021344057749957,0.005,0.04
28,6.735999330878258,0.0022430419921875,0.010291188131086529,0.015,0.03
29,6.721525698900223,0.002197265625,0.010330259841866791,0.01,0.03
30,6.707486212253571,0.0022735595703125,0.0101359224319458,0.02,0.03
31,6.689745046198368,0.0024566650390625,0.01103578801266849,0.01,0.045
32,6.6774720922112465,0.0025177001953125,0.010201201240997762,0.015,0.05
33,6.661648355424404,0.0026397705078125,0.010816541681997478,0.02,0.055
34,6.64788980782032,0.0026397705078125,0.010090708225034177,0.02,0.045
35,6.632545858621597,0.0025787353515625,0.013045762414112688,0.015,0.05
36,6.618304140865803,0.0031890869140625,0.012041239184327424,0.02,0.035
37,6.602127976715565,0.0028533935546875,0.010421221712604165,0.005,0.055
38,6.589962102472782,0.002899169921875,0.011641855179332196,0.02,0.05
39,6.572867542505264,0.0030670166015625,0.013050319897010922,0.01,0.035
40,6.56131062656641,0.003082275390625,0.013059999360702932,0.015,0.03
