epoch,train_loss,train_accuracy,test_loss,test_accuracy,top5_acc
1,6.8912480771541595,0.0009307861328125,0.04497742604464292,0.02,0.08
2,6.836043030023575,0.0012664794921875,0.04728842847049236,0.02,0.08
3,6.824156925082207,0.0013580322265625,0.04637243665754795,0.02,0.08
4,6.817781545221806,0.001251220703125,0.044756113248877225,0.025,0.09
5,6.812427498400211,0.001434326171875,0.04690416431985796,0.025,0.085
6,6.807938382029533,0.001708984375,0.04806194942910224,0.015,0.1
7,6.803861923515797,0.0014190673828125,0.04712058263830841,0.025,0.09
8,6.799881234765053,0.00164794921875,0.04548213473055512,0.03,0.1
9,6.796238474547863,0.0014801025390625,0.0534281816193834,0.015,0.085
10,6.791881427168846,0.0018310546875,0.051164704230614005,0.01,0.085
11,6.786816872656345,0.00152587890625,0.04885905777104199,0.035,0.115
12,6.781756140291691,0.001312255859375,0.053804873493500056,0.02,0.085
13,6.778960421681404,0.001678466796875,0.05336475290823728,0.015,0.09
14,6.773944340646267,0.00189208984375,0.052701203813776375,0.02,0.09
15,6.768851242959499,0.0018157958984375,0.050354869863949714,0.025,0.1
16,6.764066778123379,0.001861572265625,0.05381550678983331,0.01,0.105
17,6.757594503462315,0.001739501953125,0.0521901532728225,0.015,0.115
18,6.7521858140826225,0.001983642578125,0.05405623549595475,0.015,0.1
19,6.745514340698719,0.0021514892578125,0.05640365280210972,0.005,0.115
20,6.738016195595264,0.002105712890625,0.06264888414181768,0.02,0.095
21,6.733649201691151,0.001678466796875,0.0551562734041363,0.03,0.105
22,6.728166870772839,0.00201416015625,0.060329768070951105,0.015,0.12
23,6.717770092189312,0.00177001953125,0.06114168320782483,0.02,0.09
24,6.710853897035122,0.0018463134765625,0.058906764425337314,0.015,0.11
25,6.703830413520336,0.0021820068359375,0.05488248986192048,0.02,0.105
26,6.69246318936348,0.002349853515625,0.06184756959788501,0.025,0.115
27,6.6882302686572075,0.002349853515625,0.061971761947497726,0.02,0.12
28,6.677133321762085,0.002197265625,0.05639124562963843,0.02,0.11
29,6.668498307466507,0.0022125244140625,0.06398724797181785,0.02,0.115
30,6.661745697259903,0.00225830078125,0.058008862687274815,0.025,0.12
31,6.648345418274403,0.002410888671875,0.06663172584027052,0.01,0.085
32,6.641939751803875,0.002716064453125,0.05966579551808536,0.02,0.125
33,6.63272961974144,0.0023651123046875,0.062498503718525174,0.02,0.105
34,6.62181930989027,0.0023193359375,0.06721044161356986,0.015,0.09
35,6.6145695224404335,0.0024261474609375,0.06423027944751084,0.015,0.09
36,6.603532150387764,0.0025787353515625,0.06472831752151251,0.015,0.12
37,6.594852432608604,0.00244140625,0.06949948274530471,0.02,0.105
38,6.5836851596832275,0.002716064453125,0.06805407658219337,0.025,0.12
39,6.5717430636286736,0.00286865234375,0.07582204314880073,0.02,0.09
40,6.565752610564232,0.002685546875,0.06476689143106341,0.02,0.1
