Method,V2 Accuracy,V4 Accuracy,V10 Accuracy,Test Accuracy,Top5 Accuracy
ATM,0.9639999999999999,0.9174999999999999,0.825,0.359,0.6955
EEGNetv4,0.9209999999999999,0.8399999999999999,0.6715000000000002,0.191,0.47400000000000003
MetaEEG,0.7885000000000002,0.6205,0.399,0.055499999999999994,0.20350000000000001
NICE,0.9469999999999997,0.8465,0.685,0.20750000000000002,0.497
